location,date,avg_year_diff,last_year_diff
旭川,11月2日,0,-1
札幌,11月13日,+8,-4
帯広,11月18日,+20,+7
釧路,10月24日,0,-4
室蘭,11月21日,+7,-3
函館,11月19日,+6,+2
青森,11月28日,+5,+2
秋田,11月28日,+6,-3
盛岡,12月4日,+9,+3
山形,12月13日,+4,-1
仙台,12月5日,-1,-3
福島,12月27日,+22,+12
新潟,12月6日,+6,-2
金沢,12月7日,+3,-4
富山,12月6日,+1,-1
長野,12月12日,+13,+1
宇都宮,12月20日,+17,+8
福井,12月22日,+9,+8
前橋,-,///,///
熊谷,12月24日,+9,+6
水戸,12月6日,-1,0
岐阜,12月19日,+8,+7
名古屋,12月19日,+8,+8
甲府,-,///,///
銚子,-,///,///
津,12月14日,+1,+3
静岡,-,///,///
東京,12月9日,-4,-4
横浜,-,///,///
松江,-,///,///
鳥取,12月19日,+8,+4
京都,-,///,///
彦根,12月20日,+9,+7
下関,12月19日,+2,+12
広島,-,///,///
岡山,12月20日,+9,+7
神戸,12月23日,+7,+12
大阪,12月24日,+11,+9
和歌山,12月27日,+10,+9
奈良,12月9日,+4,-2
福岡,12月16日,+2,+4
佐賀,12月23日,+11,+12
大分,12月11日,0,+5
長崎,-,///,///
熊本,-,///,///
鹿児島,12月22日,-2,+11
宮崎,12月14日,-4,+8
松山,-,///,///
高松,-,///,///
高知,-,///,///
徳島,12月19日,+8,+11
